现代医学症状	关系	疾病
Toothache	相关疾病	"Diabetes Mellitus, Non-Insulin-Dependent"
Toothache	相关疾病	Tooth Abnormalities
Toothache	相关疾病	Methemoglobinemia
Toothache	相关疾病	Dens In Dente
Toothache	相关疾病	Myocardial Ischemia
Toothache	相关疾病	Microstomia
Toothache	相关疾病	Tooth Mobility
Toothache	相关疾病	Coronary Arteriosclerosis
Toothache	相关疾病	"Diabetes Mellitus, Insulin-Dependent"
Toothache	相关疾病	Discoloration Tooth
Toothache	相关疾病	Mental Disorders
Toothache	相关疾病	Dental Enamel Hypoplasia
Toothache	相关疾病	Heart Failure
Toothache	相关疾病	Leukemia
Toothache	相关疾病	Myocardial Infarction
Toothache	相关疾病	Gingivitis
Toothache	相关疾病	Sinusitis
Toothache	相关疾病	Congestive Heart Failure
Toothache	相关疾病	Glaucomas
Toothache	相关疾病	Pancreatitis
Toothache	相关疾病	Asthma
Toothache	相关疾病	Anemia
Toothache	相关疾病	Hypertensive Disease
Toothache	相关疾病	Coronary Artery Disease
Toothache	相关疾病	Mental Depression
Toothache	相关疾病	Migraine Disorders
Toothache	相关疾病	Squamous Cell Carcinoma
Toothache	相关疾病	"Periodontitis, Aggressive, 1"
Toothache	相关疾病	"Alcoholic Intoxication, Chronic"
