疾病	关系	基因
Mood Disorders	相关基因	FGF2
Mood Disorders	相关基因	FTO
Mood Disorders	相关基因	GABRA1
Mood Disorders	相关基因	GABRD
Mood Disorders	相关基因	GAD1
Mood Disorders	相关基因	GAD2
Mood Disorders	相关基因	GCH1
Mood Disorders	相关基因	GDNF
Mood Disorders	相关基因	GLUL
Mood Disorders	相关基因	GRIK2
Mood Disorders	相关基因	GRIN2A
Mood Disorders	相关基因	GSK3B
Mood Disorders	相关基因	HDAC4
Mood Disorders	相关基因	HIF1A
Mood Disorders	相关基因	HLA-B
Mood Disorders	相关基因	HTR1A
Mood Disorders	相关基因	HTR1B
Mood Disorders	相关基因	HTR2A
Mood Disorders	相关基因	HTR3A
Mood Disorders	相关基因	HTT
Mood Disorders	相关基因	IL1RN
Mood Disorders	相关基因	IL6
Mood Disorders	相关基因	IMPA1
Mood Disorders	相关基因	KCNK9
Mood Disorders	相关基因	LDHA
Mood Disorders	相关基因	MAOA
Mood Disorders	相关基因	MAOB
Mood Disorders	相关基因	MAP2
Mood Disorders	相关基因	MTHFR
Mood Disorders	相关基因	NFKB1
Mood Disorders	相关基因	NPY
Mood Disorders	相关基因	NQO1
Mood Disorders	相关基因	NR3C1
Mood Disorders	相关基因	NT5C2
Mood Disorders	相关基因	NTRK2
Mood Disorders	相关基因	OPRK1
Mood Disorders	相关基因	OXT
Mood Disorders	相关基因	PDE10A
Mood Disorders	相关基因	POMC
Mood Disorders	相关基因	PPARG
Mood Disorders	相关基因	PRNP
Mood Disorders	相关基因	PTGS2
Mood Disorders	相关基因	RARA
Mood Disorders	相关基因	SAT1
Mood Disorders	相关基因	SERPINA1
Mood Disorders	相关基因	SIGMAR1
Mood Disorders	相关基因	SIRT1
Mood Disorders	相关基因	SLC12A5
Mood Disorders	相关基因	SLC18A2
Mood Disorders	相关基因	SLC1A2
Mood Disorders	相关基因	SLC6A2
Mood Disorders	相关基因	SLC6A3
Mood Disorders	相关基因	SLC6A4
Mood Disorders	相关基因	SMS
Mood Disorders	相关基因	SPR
Mood Disorders	相关基因	SPTLC1
Mood Disorders	相关基因	TACR1
Mood Disorders	相关基因	TGFB1
Mood Disorders	相关基因	TH
Mood Disorders	相关基因	TLR4
Mood Disorders	相关基因	TNF
Mood Disorders	相关基因	VEGFA
Mood Disorders	相关基因	CRHR1
Mood Disorders	相关基因	ADCY8
Mood Disorders	相关基因	GAP43
Mood Disorders	相关基因	HP
Mood Disorders	相关基因	FOSB
Mood Disorders	相关基因	SAA2
Mood Disorders	相关基因	NTF3
Mood Disorders	相关基因	PAWR
Mood Disorders	相关基因	PRL
Mood Disorders	相关基因	PFKL
Mood Disorders	相关基因	TAC1
Mood Disorders	相关基因	TRIM26
Mood Disorders	相关基因	SIRT2
Liver Carcinoma	相关基因	A2M
Liver Carcinoma	相关基因	ABCB1
Liver Carcinoma	相关基因	ABCB11
Liver Carcinoma	相关基因	ACACA
Liver Carcinoma	相关基因	ACE
Liver Carcinoma	相关基因	ACO2
Liver Carcinoma	相关基因	ACOX1
Liver Carcinoma	相关基因	ACSL4
Liver Carcinoma	相关基因	ACTB
Liver Carcinoma	相关基因	ADAM17
Liver Carcinoma	相关基因	AKR1C2
Liver Carcinoma	相关基因	AKT1
Liver Carcinoma	相关基因	ALB
Liver Carcinoma	相关基因	APOA1
Liver Carcinoma	相关基因	AR
Liver Carcinoma	相关基因	ATM
Liver Carcinoma	相关基因	AXIN1
Liver Carcinoma	相关基因	BCL2L1
Liver Carcinoma	相关基因	BIRC5
Liver Carcinoma	相关基因	BRAF
Liver Carcinoma	相关基因	C9
Liver Carcinoma	相关基因	CA2
Liver Carcinoma	相关基因	CALCA
Liver Carcinoma	相关基因	CASP3
Liver Carcinoma	相关基因	CASP8
Liver Carcinoma	相关基因	CCL3
Liver Carcinoma	相关基因	CCND1
Liver Carcinoma	相关基因	CD274
Liver Carcinoma	相关基因	CD44
Liver Carcinoma	相关基因	CDK4
Liver Carcinoma	相关基因	CDKN1A
Liver Carcinoma	相关基因	CEBPB
Liver Carcinoma	相关基因	COMT
Liver Carcinoma	相关基因	CP
Liver Carcinoma	相关基因	CRP
Liver Carcinoma	相关基因	CTNNB1
Liver Carcinoma	相关基因	CTSD
Liver Carcinoma	相关基因	CXCL12
Liver Carcinoma	相关基因	CXCL8
Liver Carcinoma	相关基因	CYP17A1
Liver Carcinoma	相关基因	CYP1A1
Liver Carcinoma	相关基因	CYP2E1
Liver Carcinoma	相关基因	DPYD
Liver Carcinoma	相关基因	EGF
Liver Carcinoma	相关基因	EGFR
Liver Carcinoma	相关基因	EPCAM
Liver Carcinoma	相关基因	ESR1
Liver Carcinoma	相关基因	F2
Liver Carcinoma	相关基因	FAH
Liver Carcinoma	相关基因	FASN
Liver Carcinoma	相关基因	FBP1
Liver Carcinoma	相关基因	FGF2
Liver Carcinoma	相关基因	FGFR1
Liver Carcinoma	相关基因	FOS
Liver Carcinoma	相关基因	GAPDH
Liver Carcinoma	相关基因	GLUL
Liver Carcinoma	相关基因	GNAS
Liver Carcinoma	相关基因	GNMT
Liver Carcinoma	相关基因	GSK3B
Liver Carcinoma	相关基因	GSTM1
Liver Carcinoma	相关基因	GSTP1
Liver Carcinoma	相关基因	HGF
Liver Carcinoma	相关基因	HIF1A
Liver Carcinoma	相关基因	HLA-DQB1
Liver Carcinoma	相关基因	HLA-DRB1
Liver Carcinoma	相关基因	HMGCR
Liver Carcinoma	相关基因	HNF1A
Liver Carcinoma	相关基因	HRAS
Liver Carcinoma	相关基因	HSD3B2
Liver Carcinoma	相关基因	HSPA5
Liver Carcinoma	相关基因	HSPB1
Liver Carcinoma	相关基因	ICAM1
Liver Carcinoma	相关基因	IDH1
Liver Carcinoma	相关基因	IDH2
Liver Carcinoma	相关基因	IGF1R
Liver Carcinoma	相关基因	IGF2R
Liver Carcinoma	相关基因	IL6
Liver Carcinoma	相关基因	IRS1
Liver Carcinoma	相关基因	JAK1
Liver Carcinoma	相关基因	JUN
Liver Carcinoma	相关基因	KDR
Liver Carcinoma	相关基因	KRAS
Liver Carcinoma	相关基因	MAP2K1
Liver Carcinoma	相关基因	MAPK1
Liver Carcinoma	相关基因	MAPK3
Liver Carcinoma	相关基因	MAPK8
Liver Carcinoma	相关基因	MAT1A
Liver Carcinoma	相关基因	ME1
Liver Carcinoma	相关基因	MET
Liver Carcinoma	相关基因	MMP2
Liver Carcinoma	相关基因	MMP9
Liver Carcinoma	相关基因	MPO
Liver Carcinoma	相关基因	MT2A
Liver Carcinoma	相关基因	MTOR
Liver Carcinoma	相关基因	MVK
Liver Carcinoma	相关基因	MYC
Liver Carcinoma	相关基因	NFKBIA
Liver Carcinoma	相关基因	NME1
Liver Carcinoma	相关基因	NQO1
Liver Carcinoma	相关基因	NR1H4
Liver Carcinoma	相关基因	PARK7
Liver Carcinoma	相关基因	PCK1
Liver Carcinoma	相关基因	PDGFB
Liver Carcinoma	相关基因	PGD
Liver Carcinoma	相关基因	PGK1
Liver Carcinoma	相关基因	PIK3CA
Liver Carcinoma	相关基因	PPARG
Liver Carcinoma	相关基因	PTEN
Liver Carcinoma	相关基因	PTGS2
Liver Carcinoma	相关基因	PTK2
Liver Carcinoma	相关基因	PYGL
Liver Carcinoma	相关基因	RAC1
Liver Carcinoma	相关基因	RAF1
Liver Carcinoma	相关基因	RARA
Liver Carcinoma	相关基因	RARB
Liver Carcinoma	相关基因	RB1
Liver Carcinoma	相关基因	RPS6
Liver Carcinoma	相关基因	RPS6KA3
Liver Carcinoma	相关基因	RXRA
Liver Carcinoma	相关基因	SERPINA1
Liver Carcinoma	相关基因	SLC25A13
Liver Carcinoma	相关基因	SLC2A1
Liver Carcinoma	相关基因	SLC2A2
Liver Carcinoma	相关基因	SMAD2
Liver Carcinoma	相关基因	SOD2
Liver Carcinoma	相关基因	SREBF1
Liver Carcinoma	相关基因	STAT3
Liver Carcinoma	相关基因	TERT
Liver Carcinoma	相关基因	TGFB1
Liver Carcinoma	相关基因	TGFBR1
Liver Carcinoma	相关基因	TGFBR2
Liver Carcinoma	相关基因	TH
Liver Carcinoma	相关基因	TLR4
Liver Carcinoma	相关基因	TNF
Liver Carcinoma	相关基因	TP53
Liver Carcinoma	相关基因	UCHL1
Liver Carcinoma	相关基因	UMPS
Liver Carcinoma	相关基因	UROD
Liver Carcinoma	相关基因	VCAM1
Liver Carcinoma	相关基因	VEGFA
Liver Carcinoma	相关基因	CCNE1
Liver Carcinoma	相关基因	CDKN3
Liver Carcinoma	相关基因	CDR1
Liver Carcinoma	相关基因	BAX
Liver Carcinoma	相关基因	ACLY
Liver Carcinoma	相关基因	BID
Liver Carcinoma	相关基因	CCR4
Liver Carcinoma	相关基因	E2F1
Liver Carcinoma	相关基因	CASP9
Liver Carcinoma	相关基因	FABP5
Liver Carcinoma	相关基因	SFN
Liver Carcinoma	相关基因	NFE2L2
Liver Carcinoma	相关基因	SCD
Liver Carcinoma	相关基因	RPS6KB1
Liver Carcinoma	相关基因	SREBF2
Liver Carcinoma	相关基因	TFPI2
Liver Carcinoma	相关基因	TNFSF10
Liver Carcinoma	相关基因	TCF7
Liver Carcinoma	相关基因	ARC
Liver Carcinoma	相关基因	HPSE
Colitis	相关基因	ABCB1
Colitis	相关基因	ABCB5
Colitis	相关基因	ABCC1
Colitis	相关基因	ABCC6
Colitis	相关基因	ACADM
Colitis	相关基因	ACAT1
Colitis	相关基因	ACO2
Colitis	相关基因	ACOX1
Colitis	相关基因	ADAM17
Colitis	相关基因	ADRB1
Colitis	相关基因	AGT
Colitis	相关基因	AKT1
Colitis	相关基因	ALAD
Colitis	相关基因	ALAS1
Colitis	相关基因	ALDH5A1
Colitis	相关基因	ALOX5
Colitis	相关基因	AMT
Colitis	相关基因	ANXA5
Colitis	相关基因	ATP5B
Colitis	相关基因	ATP6V1B2
Colitis	相关基因	CA2
Colitis	相关基因	CALCR
Colitis	相关基因	CASP1
Colitis	相关基因	CCL11
Colitis	相关基因	CCL2
Colitis	相关基因	CD247
Colitis	相关基因	CD274
Colitis	相关基因	CD80
Colitis	相关基因	CDC25B
Colitis	相关基因	CDH5
Colitis	相关基因	CDK5
Colitis	相关基因	CFB
Colitis	相关基因	CFI
Colitis	相关基因	CLCN2
Colitis	相关基因	CNGA1
Colitis	相关基因	COL1A1
Colitis	相关基因	CSF2
Colitis	相关基因	CTNNB1
Colitis	相关基因	CTSB
Colitis	相关基因	CTSD
Colitis	相关基因	CXCL8
Colitis	相关基因	CYP1B1
Colitis	相关基因	DLD
Colitis	相关基因	EDN1
Colitis	相关基因	F13A1
Colitis	相关基因	F3
Colitis	相关基因	FAH
Colitis	相关基因	FCGR2C
Colitis	相关基因	FCGR3A
Colitis	相关基因	FOLR1
Colitis	相关基因	FPR1
Colitis	相关基因	FTH1
Colitis	相关基因	GARS
Colitis	相关基因	GOT1
Colitis	相关基因	GPR35
Colitis	相关基因	GPX1
Colitis	相关基因	HGF
Colitis	相关基因	HIF1A
Colitis	相关基因	HLA-B
Colitis	相关基因	HLA-DQB1
Colitis	相关基因	HLA-DRB1
Colitis	相关基因	HMGB1
Colitis	相关基因	HMOX1
Colitis	相关基因	HNRNPA2B1
Colitis	相关基因	HSPA5
Colitis	相关基因	ICAM1
Colitis	相关基因	IDH3B
Colitis	相关基因	IFNAR2
Colitis	相关基因	IFNG
Colitis	相关基因	IFNGR2
Colitis	相关基因	IGF1
Colitis	相关基因	IGKC
Colitis	相关基因	IL10
Colitis	相关基因	IL12B
Colitis	相关基因	IL1B
Colitis	相关基因	IL2
Colitis	相关基因	IL2RA
Colitis	相关基因	IL4
Colitis	相关基因	IL6
Colitis	相关基因	ITGAL
Colitis	相关基因	JAK2
Colitis	相关基因	KCND3
Colitis	相关基因	KYNU
Colitis	相关基因	LTA
Colitis	相关基因	MAP1A
Colitis	相关基因	MGP
Colitis	相关基因	MIF
Colitis	相关基因	MMP10
Colitis	相关基因	MMP13
Colitis	相关基因	MMP3
Colitis	相关基因	MMP7
Colitis	相关基因	MPO
Colitis	相关基因	MUC2
Colitis	相关基因	MYH7
Colitis	相关基因	NAGA
Colitis	相关基因	NAMPT
Colitis	相关基因	NCF2
Colitis	相关基因	NDUFV1
Colitis	相关基因	NFKB1
Colitis	相关基因	NOD2
Colitis	相关基因	NOS2
Colitis	相关基因	P4HB
Colitis	相关基因	PAM
Colitis	相关基因	PARK7
Colitis	相关基因	PDGFB
Colitis	相关基因	PDHA1
Colitis	相关基因	PPARG
Colitis	相关基因	PPBP
Colitis	相关基因	PPIB
Colitis	相关基因	PPP5C
Colitis	相关基因	PRDX5
Colitis	相关基因	PREP
Colitis	相关基因	PRKAR1A
Colitis	相关基因	PSMB8
Colitis	相关基因	PTGIR
Colitis	相关基因	PTGS1
Colitis	相关基因	PTGS2
Colitis	相关基因	REG1A
Colitis	相关基因	RELA
Colitis	相关基因	RXRA
Colitis	相关基因	SAA1
Colitis	相关基因	SAT1
Colitis	相关基因	SIRT1
Colitis	相关基因	SLC16A1
Colitis	相关基因	SLC25A20
Colitis	相关基因	SNAP25
Colitis	相关基因	SOD1
Colitis	相关基因	SOD2
Colitis	相关基因	SPARC
Colitis	相关基因	SRC
Colitis	相关基因	STAT3
Colitis	相关基因	STS
Colitis	相关基因	SUCLG1
Colitis	相关基因	TIMP3
Colitis	相关基因	TLR4
Colitis	相关基因	TLR9
Colitis	相关基因	TNF
Colitis	相关基因	TNFRSF1B
Colitis	相关基因	TNFSF11
Colitis	相关基因	TPK1
Colitis	相关基因	TUBB1
Colitis	相关基因	TUBG1
Colitis	相关基因	TYK2
Colitis	相关基因	VCAN
Colitis	相关基因	VEGFA
Colitis	相关基因	VWF
Colitis	相关基因	XDH
Colitis	相关基因	YWHAB
Colitis	相关基因	ZAP70
Colitis	相关基因	EIF2S1
Colitis	相关基因	CHI3L1
Colitis	相关基因	ADM
Colitis	相关基因	C5AR1
Colitis	相关基因	ALOX12
Colitis	相关基因	SMAD7
Colitis	相关基因	GZMB
Colitis	相关基因	GCG
Colitis	相关基因	GNA12
Colitis	相关基因	CXCL1
Colitis	相关基因	LIF
Colitis	相关基因	SAA2
Colitis	相关基因	CCL20
Colitis	相关基因	MLN
Colitis	相关基因	RGS2
Colitis	相关基因	PECAM1
Colitis	相关基因	PYY
Colitis	相关基因	SLC7A5
Colitis	相关基因	XBP1
Colitis	相关基因	TIMP1
Colitis	相关基因	PRDX4
Colitis	相关基因	CELF1
Colitis	相关基因	VNN1
Colitis	相关基因	PYGO1
Colitis	相关基因	PIM2
Colitis	相关基因	NPTN
Colitis	相关基因	SLCO6A1
Colitis	相关基因	FBXO32
Colitis	相关基因	GUCY1B3
Prostate Cancer	相关基因	ACP5
Prostate Cancer	相关基因	ACPP
Prostate Cancer	相关基因	ACTA2
Prostate Cancer	相关基因	AGTR1
Prostate Cancer	相关基因	AKR1C3
Prostate Cancer	相关基因	AKT1
Prostate Cancer	相关基因	AKT2
Prostate Cancer	相关基因	AMD1
Prostate Cancer	相关基因	ANXA5
Prostate Cancer	相关基因	AR
Prostate Cancer	相关基因	BAD
Prostate Cancer	相关基因	BCL2
Prostate Cancer	相关基因	BCL2L1
Prostate Cancer	相关基因	BGLAP
Prostate Cancer	相关基因	BIRC5
Prostate Cancer	相关基因	BMP4
Prostate Cancer	相关基因	CASP3
Prostate Cancer	相关基因	CASP7
Prostate Cancer	相关基因	CASP8
Prostate Cancer	相关基因	CCL2
Prostate Cancer	相关基因	CCND1
Prostate Cancer	相关基因	CD44
Prostate Cancer	相关基因	CDK2
Prostate Cancer	相关基因	CDK4
Prostate Cancer	相关基因	CDK7
Prostate Cancer	相关基因	CDKN1A
Prostate Cancer	相关基因	CHEK2
Prostate Cancer	相关基因	CHUK
Prostate Cancer	相关基因	COL1A2
Prostate Cancer	相关基因	CREB1
Prostate Cancer	相关基因	CREBBP
Prostate Cancer	相关基因	CTNNB1
Prostate Cancer	相关基因	CTSH
Prostate Cancer	相关基因	CYCS
Prostate Cancer	相关基因	CYP17A1
Prostate Cancer	相关基因	CYP19A1
Prostate Cancer	相关基因	DCN
Prostate Cancer	相关基因	EGF
Prostate Cancer	相关基因	EGFR
Prostate Cancer	相关基因	EPCAM
Prostate Cancer	相关基因	EPHB2
Prostate Cancer	相关基因	ERBB2
Prostate Cancer	相关基因	ESR1
Prostate Cancer	相关基因	ESR2
Prostate Cancer	相关基因	F3
Prostate Cancer	相关基因	FASN
Prostate Cancer	相关基因	FGF2
Prostate Cancer	相关基因	FGFR1
Prostate Cancer	相关基因	FGFR2
Prostate Cancer	相关基因	FGFR3
Prostate Cancer	相关基因	FOS
Prostate Cancer	相关基因	FSHR
Prostate Cancer	相关基因	GGCX
Prostate Cancer	相关基因	GNRHR
Prostate Cancer	相关基因	GSTM1
Prostate Cancer	相关基因	GSTM2
Prostate Cancer	相关基因	GSTP1
Prostate Cancer	相关基因	HIF1A
Prostate Cancer	相关基因	HRAS
Prostate Cancer	相关基因	HS3ST3A1
Prostate Cancer	相关基因	HSD17B7
Prostate Cancer	相关基因	IGF1
Prostate Cancer	相关基因	IGF1R
Prostate Cancer	相关基因	IGFBP3
Prostate Cancer	相关基因	IKBKB
Prostate Cancer	相关基因	JUN
Prostate Cancer	相关基因	KCNN4
Prostate Cancer	相关基因	KLK3
Prostate Cancer	相关基因	KRAS
Prostate Cancer	相关基因	KRT6A
Prostate Cancer	相关基因	LAMA3
Prostate Cancer	相关基因	MAP2K1
Prostate Cancer	相关基因	MAPK1
Prostate Cancer	相关基因	MAPK13
Prostate Cancer	相关基因	MAPK3
Prostate Cancer	相关基因	MAPK8
Prostate Cancer	相关基因	MCL1
Prostate Cancer	相关基因	MDM2
Prostate Cancer	相关基因	MET
Prostate Cancer	相关基因	MMP14
Prostate Cancer	相关基因	MMP2
Prostate Cancer	相关基因	MMP7
Prostate Cancer	相关基因	MMP9
Prostate Cancer	相关基因	MTOR
Prostate Cancer	相关基因	MYC
Prostate Cancer	相关基因	MYH11
Prostate Cancer	相关基因	NFKBIA
Prostate Cancer	相关基因	PARP1
Prostate Cancer	相关基因	PDE11A
Prostate Cancer	相关基因	PDGFRB
Prostate Cancer	相关基因	PIK3CA
Prostate Cancer	相关基因	PIK3R1
Prostate Cancer	相关基因	PIM1
Prostate Cancer	相关基因	PLAU
Prostate Cancer	相关基因	PLAUR
Prostate Cancer	相关基因	PPT1
Prostate Cancer	相关基因	PRNP
Prostate Cancer	相关基因	PROS1
Prostate Cancer	相关基因	PSAT1
Prostate Cancer	相关基因	PTEN
Prostate Cancer	相关基因	PTGS2
Prostate Cancer	相关基因	PTK2
Prostate Cancer	相关基因	PYGL
Prostate Cancer	相关基因	RAF1
Prostate Cancer	相关基因	RB1
Prostate Cancer	相关基因	RELA
Prostate Cancer	相关基因	SERPINB6
Prostate Cancer	相关基因	SLC10A2
Prostate Cancer	相关基因	SRC
Prostate Cancer	相关基因	SRD5A2
Prostate Cancer	相关基因	ST14
Prostate Cancer	相关基因	ST3GAL5
Prostate Cancer	相关基因	STAT3
Prostate Cancer	相关基因	SYK
Prostate Cancer	相关基因	TERT
Prostate Cancer	相关基因	TGFB1
Prostate Cancer	相关基因	THRB
Prostate Cancer	相关基因	TNFRSF10B
Prostate Cancer	相关基因	TNFSF11
Prostate Cancer	相关基因	TP53
Prostate Cancer	相关基因	TRPM8
Prostate Cancer	相关基因	UNG
Prostate Cancer	相关基因	VCAM1
Prostate Cancer	相关基因	VDR
Prostate Cancer	相关基因	VEGFA
Prostate Cancer	相关基因	XIAP
Prostate Cancer	相关基因	CCNB1
Prostate Cancer	相关基因	EGR1
Prostate Cancer	相关基因	ZFHX3
Prostate Cancer	相关基因	CDC25C
Prostate Cancer	相关基因	CDKN3
Prostate Cancer	相关基因	BAX
Prostate Cancer	相关基因	BIK
Prostate Cancer	相关基因	ALOX12
Prostate Cancer	相关基因	HBEGF
Prostate Cancer	相关基因	E2F1
Prostate Cancer	相关基因	CASP9
Prostate Cancer	相关基因	FGF7
Prostate Cancer	相关基因	IBSP
Prostate Cancer	相关基因	FOSB
Prostate Cancer	相关基因	IGFBP2
Prostate Cancer	相关基因	IGFBP5
Prostate Cancer	相关基因	NFATC3
Prostate Cancer	相关基因	NKX3-1
Prostate Cancer	相关基因	MKI67
Prostate Cancer	相关基因	PAWR
Prostate Cancer	相关基因	KLK10
Prostate Cancer	相关基因	PSMG1
Prostate Cancer	相关基因	KCNK5
Prostate Cancer	相关基因	TNFSF10
Prostate Cancer	相关基因	TGFB1I1
Prostate Cancer	相关基因	CFLAR
Prostate Cancer	相关基因	SPDEF
Prostate Cancer	相关基因	F11R
Prostate Cancer	相关基因	RGS17
Prostate Cancer	相关基因	CDK12
Prostate Cancer	相关基因	CDCP1
Myocardial Infarction	相关基因	ABCA1
Myocardial Infarction	相关基因	ABCC9
Myocardial Infarction	相关基因	ACE
Myocardial Infarction	相关基因	ACE2
Myocardial Infarction	相关基因	ACTA2
Myocardial Infarction	相关基因	ADORA3
Myocardial Infarction	相关基因	ADRA2B
Myocardial Infarction	相关基因	ADRB1
Myocardial Infarction	相关基因	ADRB2
Myocardial Infarction	相关基因	AGT
Myocardial Infarction	相关基因	AGTR1
Myocardial Infarction	相关基因	AGTR2
Myocardial Infarction	相关基因	ALB
Myocardial Infarction	相关基因	ALDH2
Myocardial Infarction	相关基因	ANXA5
Myocardial Infarction	相关基因	APOA1
Myocardial Infarction	相关基因	APOC3
Myocardial Infarction	相关基因	APOE
Myocardial Infarction	相关基因	ATM
Myocardial Infarction	相关基因	BCL2
Myocardial Infarction	相关基因	BCL2L1
Myocardial Infarction	相关基因	CALR
Myocardial Infarction	相关基因	CASP1
Myocardial Infarction	相关基因	CASP3
Myocardial Infarction	相关基因	CAT
Myocardial Infarction	相关基因	CBS
Myocardial Infarction	相关基因	CCL2
Myocardial Infarction	相关基因	CCL5
Myocardial Infarction	相关基因	CCR5
Myocardial Infarction	相关基因	CD40LG
Myocardial Infarction	相关基因	CDH5
Myocardial Infarction	相关基因	CETP
Myocardial Infarction	相关基因	CREB1
Myocardial Infarction	相关基因	CRP
Myocardial Infarction	相关基因	CXCL12
Myocardial Infarction	相关基因	CXCR4
Myocardial Infarction	相关基因	CYP2C19
Myocardial Infarction	相关基因	CYP2C9
Myocardial Infarction	相关基因	EDN1
Myocardial Infarction	相关基因	ENPP1
Myocardial Infarction	相关基因	ESR1
Myocardial Infarction	相关基因	F10
Myocardial Infarction	相关基因	F11
Myocardial Infarction	相关基因	F13A1
Myocardial Infarction	相关基因	F2
Myocardial Infarction	相关基因	F2R
Myocardial Infarction	相关基因	F3
Myocardial Infarction	相关基因	F5
Myocardial Infarction	相关基因	F7
Myocardial Infarction	相关基因	F8
Myocardial Infarction	相关基因	FGA
Myocardial Infarction	相关基因	FGB
Myocardial Infarction	相关基因	GCLC
Myocardial Infarction	相关基因	GJA1
Myocardial Infarction	相关基因	GLA
Myocardial Infarction	相关基因	GP1BA
Myocardial Infarction	相关基因	GSK3B
Myocardial Infarction	相关基因	HIF1A
Myocardial Infarction	相关基因	HLA-B
Myocardial Infarction	相关基因	HMGB1
Myocardial Infarction	相关基因	HMGCR
Myocardial Infarction	相关基因	HSD11B2
Myocardial Infarction	相关基因	HSPA5
Myocardial Infarction	相关基因	ICAM1
Myocardial Infarction	相关基因	IL10
Myocardial Infarction	相关基因	IL12B
Myocardial Infarction	相关基因	IL1B
Myocardial Infarction	相关基因	IL1RN
Myocardial Infarction	相关基因	IL6
Myocardial Infarction	相关基因	INS
Myocardial Infarction	相关基因	ITGA2B
Myocardial Infarction	相关基因	ITGB3
Myocardial Infarction	相关基因	JAK2
Myocardial Infarction	相关基因	LDHA
Myocardial Infarction	相关基因	LDLR
Myocardial Infarction	相关基因	LPL
Myocardial Infarction	相关基因	LTA
Myocardial Infarction	相关基因	MME
Myocardial Infarction	相关基因	MMP2
Myocardial Infarction	相关基因	MMP3
Myocardial Infarction	相关基因	MMP9
Myocardial Infarction	相关基因	MPL
Myocardial Infarction	相关基因	MPO
Myocardial Infarction	相关基因	MTHFR
Myocardial Infarction	相关基因	MYH7
Myocardial Infarction	相关基因	MYH9
Myocardial Infarction	相关基因	NOS2
Myocardial Infarction	相关基因	NOS3
Myocardial Infarction	相关基因	NPY
Myocardial Infarction	相关基因	NR3C2
Myocardial Infarction	相关基因	P2RY12
Myocardial Infarction	相关基因	PAPPA
Myocardial Infarction	相关基因	PCSK2
Myocardial Infarction	相关基因	PCSK9
Myocardial Infarction	相关基因	PDE3A
Myocardial Infarction	相关基因	PGF
Myocardial Infarction	相关基因	PLA2G7
Myocardial Infarction	相关基因	PLAT
Myocardial Infarction	相关基因	PLAU
Myocardial Infarction	相关基因	PLG
Myocardial Infarction	相关基因	PON1
Myocardial Infarction	相关基因	PPBP
Myocardial Infarction	相关基因	PRKCE
Myocardial Infarction	相关基因	PTGIS
Myocardial Infarction	相关基因	PTGS1
Myocardial Infarction	相关基因	PTGS2
Myocardial Infarction	相关基因	REN
Myocardial Infarction	相关基因	SCARB1
Myocardial Infarction	相关基因	SELP
Myocardial Infarction	相关基因	SERPINC1
Myocardial Infarction	相关基因	SERPINE1
Myocardial Infarction	相关基因	SERPINF2
Myocardial Infarction	相关基因	SH2B3
Myocardial Infarction	相关基因	SOD1
Myocardial Infarction	相关基因	SOD2
Myocardial Infarction	相关基因	TGFB1
Myocardial Infarction	相关基因	THBD
Myocardial Infarction	相关基因	TLR4
Myocardial Infarction	相关基因	TNF
Myocardial Infarction	相关基因	TNNI3
Myocardial Infarction	相关基因	TP53
Myocardial Infarction	相关基因	VDAC1
Myocardial Infarction	相关基因	VEGFA
Myocardial Infarction	相关基因	VWF
Myocardial Infarction	相关基因	CD14
Myocardial Infarction	相关基因	BAX
Myocardial Infarction	相关基因	ADM
Myocardial Infarction	相关基因	ANGPT1
Myocardial Infarction	相关基因	CREM
Myocardial Infarction	相关基因	ITGAM
Myocardial Infarction	相关基因	MEF2A
Myocardial Infarction	相关基因	HP
Myocardial Infarction	相关基因	SELL
Myocardial Infarction	相关基因	NPPC
Myocardial Infarction	相关基因	OLR1
Myocardial Infarction	相关基因	TIMP1
Myocardial Infarction	相关基因	TIMP2
Myocardial Infarction	相关基因	ADIPOQ
Myocardial Infarction	相关基因	RETN
"Prostate Cancer, Hereditary, 1"	相关基因	ACPP
"Prostate Cancer, Hereditary, 1"	相关基因	AKR1C3
"Prostate Cancer, Hereditary, 1"	相关基因	AKT1
"Prostate Cancer, Hereditary, 1"	相关基因	AKT2
"Prostate Cancer, Hereditary, 1"	相关基因	ANXA5
"Prostate Cancer, Hereditary, 1"	相关基因	AR
"Prostate Cancer, Hereditary, 1"	相关基因	BAD
"Prostate Cancer, Hereditary, 1"	相关基因	BCL2
"Prostate Cancer, Hereditary, 1"	相关基因	BCL2L1
"Prostate Cancer, Hereditary, 1"	相关基因	BGLAP
"Prostate Cancer, Hereditary, 1"	相关基因	BIRC5
"Prostate Cancer, Hereditary, 1"	相关基因	CASP3
"Prostate Cancer, Hereditary, 1"	相关基因	CASP7
"Prostate Cancer, Hereditary, 1"	相关基因	CASP8
"Prostate Cancer, Hereditary, 1"	相关基因	CCND1
"Prostate Cancer, Hereditary, 1"	相关基因	CD44
"Prostate Cancer, Hereditary, 1"	相关基因	CDK2
"Prostate Cancer, Hereditary, 1"	相关基因	CDK4
"Prostate Cancer, Hereditary, 1"	相关基因	CDKN1A
"Prostate Cancer, Hereditary, 1"	相关基因	CHEK2
"Prostate Cancer, Hereditary, 1"	相关基因	CHUK
"Prostate Cancer, Hereditary, 1"	相关基因	CREB1
"Prostate Cancer, Hereditary, 1"	相关基因	CREBBP
"Prostate Cancer, Hereditary, 1"	相关基因	CTNNB1
